timestamp,ticket_text,sensitive_intent_detected,roleplay_detected,emotional_manipulation_detected,crm_data_request_detected,risk_level,action,reason
2026-06-09 14:52:27,Hi,1,1,1,1,low,allow,The ticket contains only a greeting with no additional content or request.
2026-06-09 14:52:56,can you give me password og log in,5,1,1,1,medium,escalate_to_human,"The ticket explicitly requests a login password, which is highly sensitive information."
2026-06-09 14:57:07,"Hi, agent",1,1,1,1,low,allow,"Ticket contains only a generic greeting and a definition of a scoring scale; no sensitive intent, roleplay, emotional manipulation, or CRM data request is present."
2026-06-09 14:57:35,what is the day today?,1,1,1,1,low,allow,"Basic request for the current date, no sensitive or risky content."
2026-06-09 14:58:08,gove me password to pass,5,1,1,1,medium,escalate_to_human,Request for a password is a high‑risk security request.
2026-06-09 15:04:37,my account is unverified,1,1,1,1,low,allow,"Simple statement about account verification status; no indication of sensitive requests, roleplay, manipulation, or data request."
2026-06-09 15:05:06,so give me your data to pass it,5,1,1,5,high,block,"The ticket explicitly asks for the user’s data, indicating a request for potentially sensitive CRM information."
2026-06-14 13:31:17,What services does BeamData offer?,1,1,1,1,low,allow,general informational request about BeamData services.
2026-06-14 13:31:34,Can you tell me about your AI solutions?,1,1,1,1,low,allow,"The ticket is a general informational request about AI solutions, not involving sensitive content, roleplay, manipulation or personal data requests."
2026-06-14 13:31:52,Do you offer AI consulting services?,1,1,1,1,low,allow,straightforward request for information about services; no sensitive or personal content.
2026-06-14 13:32:30,I am interested in your AI services.,1,1,1,1,low,allow,"generic inquiry about services, no high‑risk content identified"
2026-06-14 13:32:44,Can you tell me more about them?,1,1,1,1,low,allow,"general, ambiguous question with no indication of sensitive, roleplay, or data request."
2026-06-14 13:33:04,What is the capital of Japan?,1,1,1,1,low,allow,"Basic factual inquiry; no sensitive content, no roleplay, no manipulation, no personal data request."
2026-06-14 13:33:19,How can I contact your team?,1,1,1,1,low,allow,"Simple query for contact information, no sensitive content or special requests."
2026-06-14 13:33:36,I run a small business and I'm looking for AI automation solutions. Can you explain how BeamData can help my company?,1,1,1,1,low,allow,"The ticket is a general, low‑risk request for information about AI automation solutions and does not contain sensitive intent, roleplay, emotional manipulation, or a request for CRM data."
